time,density,nonezero,
1,0.1,0.0625,
2,0.1,0.1875,
3,0.1,0.0625,
4,0.1,0.0625,
5,0.1,0.0625,
6,0.1,0.3125,
7,0.1,0.125,
8,0.1,0.3125,
9,0.1,0.125,
10,0.1,0.125,
11,0.1,0.0625,
12,0.1,0.0625,
13,0.1,0.0625,
14,0.1,0.0625,
15,0.1,0.1875,
16,0.1,0.125,
17,0.1,0.0625,
18,0.1,0.0625,
19,0.1,0.125,
20,0.1,0.125,
21,0.1,0.125,
1,0.2,0.25,
2,0.2,0.0625,
3,0.2,0.25,
4,0.2,0.125,
5,0.2,0.25,
6,0.2,0.25,
7,0.2,0.0625,
8,0.2,0.1875,
9,0.2,0.125,
10,0.2,0.1875,
11,0.2,0.25,
12,0.2,0.3125,
13,0.2,0.3125,
14,0.2,0.25,
15,0.2,0.3125,
16,0.2,0.3125,
1,0.3,0.3125,
2,0.3,0.4375,
3,0.3,0.25,
4,0.3,0.3125,
5,0.3,0.25,
6,0.3,0.4375,
7,0.3,0.25,
8,0.3,0.625,
9,0.3,0.25,
10,0.3,0.4375,
11,0.3,0.3125,
12,0.3,0.4375,
13,0.3,0.4375,
14,0.3,0.25,
15,0.3,0.1875,
16,0.3,0.1875,
1,0.4,0.5,
2,0.4,0.1875,
3,0.4,0.5,
4,0.4,0.3125,
5,0.4,0.3125,
6,0.4,0.5,
7,0.4,0.5,
8,0.4,0.3125,
9,0.4,0.5,
10,0.4,0.4375,
11,0.4,0.5,
12,0.4,0.3125,
13,0.4,0.5625,
14,0.4,0.5625,
15,0.4,0.375,
16,0.4,0.5,
1,0.5,0.5,
2,0.5,0.3125,
3,0.5,0.625,
4,0.5,0.4375,
5,0.5,0.4375,
6,0.5,0.6875,
7,0.5,0.75,
8,0.5,0.5625,
9,0.5,0.5,
10,0.5,0.5,
11,0.5,0.5,
12,0.5,0.5625,
13,0.5,0.75,
14,0.5,0.6875,
15,0.5,0.625,
16,0.5,0.5625,
1,0.6,0.625,
2,0.6,0.8125,
3,0.6,0.75,
4,0.6,0.6875,
5,0.6,0.8125,
6,0.6,0.5,
7,0.6,0.6875,
8,0.6,0.75,
9,0.6,0.75,
10,0.6,0.8125,
11,0.6,0.75,
12,0.6,0.875,
13,0.6,0.5,
14,0.6,0.4375,
15,0.6,0.6875,
16,0.6,0.625,
1,0.7,0.75,
2,0.7,0.9375,
3,0.7,0.9375,
4,0.7,1,
5,0.7,0.75,
6,0.7,0.875,
7,0.7,0.9375,
8,0.7,0.8125,
9,0.7,0.8125,
10,0.7,0.75,
11,0.7,0.75,
12,0.7,0.6875,
13,0.7,0.625,
14,0.7,0.4375,
15,0.7,0.5625,
16,0.7,0.6875,
1,0.8,0.9375,
2,0.8,1,
3,0.8,1,
4,0.8,1,
5,0.8,1,
6,0.8,1.0625,
7,0.8,0.9375,
8,0.8,1,
9,0.8,0.8125,
10,0.8,0.6875,
11,0.8,0.9375,
12,0.8,1,
13,0.8,0.9375,
14,0.8,0.75,
15,0.8,0.875,
16,0.8,0.6875,
17,0.8,0.875,
1,0.9,0.8125,
2,0.9,0.9375,
3,0.9,1.125,
4,0.9,1.0625,
5,0.9,0.875,
6,0.9,1.0625,
7,0.9,1.0625,
8,0.9,0.875,
9,0.9,1.125,
10,0.9,0.9375,
11,0.9,1.0625,
12,0.9,1,
13,0.9,1.0625,
14,0.9,1.125,
15,0.9,1.0625,
16,0.9,1.125,
17,0.9,1.125,
18,0.9,1.0625,
19,0.9,0.875,
20,0.9,0.9375,
21,0.9,1.125,
22,0.9,1.0625,
23,0.9,1.0625,
24,0.9,1.125,
25,0.9,1.0625,
26,0.9,1,
27,0.9,1,
28,0.9,1,
29,0.9,1,
